"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bosnia y Herzegovina","BIH","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2073404846.19934","2730928686.89734","4489600820.61778","6930599907.57498","9758565204.63235","11234857589.187","12942246800","13728637700","14876797100","15429164400","17483665700","18386339000","20668215000","23217859000","26462330000","25753520000","25777953000","26442262000","26427731000","27135384000","27582490000","28783952000","29945060000","31112936000.0001","33245078000.0001","35274354999.9999","33944454999.9999","",
"Belarús","BLR","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","432.999999999997","870.999999999994","9244.99999999995","98577.9999999997","1776821","12135053","19204592","36630040","70181021","302890951","909604800","1711306800","2608431200","3661637900","4995158700","6518657800","7902086800","9628332200","12810759000","13898071300","16700286900","30384976000","53535833900","64713665800","78161937400","86099267200.0003","90471670000.0001","101776044000","117898419000","130736084000","140887837000","",
"Belice","BLZ","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807972890.984353","870641500","1007219400","1083310600","1111305900","1195702400","1230512500","1262482900","1313975900","1385183200","1558346700","1602618500","1715433600","1788195500","1869284899.99999","1976277300","2170642400.00001","2225290500.00001","2372322800","2453329300","2477355700","2727195806.46813","2805395012.15699","2920422506.01027","3059070121.92129","3252501982.93823","3357008175.57124","3466659353.43714","3519299573.92815","3638137081.2268","3155261594.16111","",
"Bermudas","BMU","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6780700000","6474269000","6661617000","6764352000","6657828999.99999","6893729000.00002","7095782999.99999","7435278999.99999","7459239999.99998","7587978000.00003","7042079501.36272","",
"Bolivia","BOL","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14654415210","18247717700","21242873900","23580788300.0001","26793097700.0001","31243322400","36480112699.9999","40611404199.9999","45928582400","47015780500","50533917799.9999","52395210499.9999","55214630000","59592549300.0001","66572975600.0001","73988127699.9999","88565230700","99166487299.9999","116811303900","116996612200","131638184241.282","159393374208.04","175895567006.574","198673333366.455","216270757626.018","220243124537.093","230242791030.269","251517060898.887","271645870586.63","276734583754.179","249704465246.55","",
"Brasil","BRA","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11241795","58935000.0000001","628867800.000001","13753924200","343380663000","695487258000","831737239000","921710778000","958034717000","1030892185000","1164560429833.43","1273035219522.72","1438841275780.49","1663432274815.64","1899911998736.78","2107840111931.64","2349156339543.44","2662482272069.27","3033549541334.8","3259287600568.78","3765812330164.8","4263922255799.98","4694629862805.29","5257535238624.85","5671266004551.81","5882964716688.89","6136321667710.74","6462363074694.95","6809381494728.64","7208624304553.48","7305242466904.72","",
"Barbados","BRB","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3955700000","3984900000","3857400000","4070200000","4235600000","4341400000","4613300000","4902700000","5529700000","5764500000","5928700000","5889800000","5975100000","6151100000","6655300000","7289000000","7922199000","8972366000","9078095900","8550896700","8836100700","8714707200.00002","8875193199.99996","8964801100.00004","8998117300","9004115299.99998","9217128300.00002","9508506400.00002","9712206199.99996","10060149300","8468797529.78212","",
"Brunei Darussalam","BRN","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6381000000","6395000000","6815000000","6634000000","6243000000","6710000000","7213000000","7717000000","6780000000","7797000000","10345988300","10035474000","10463065100","11424185700","13305817600","15864066900","18225800000","18552543000","20475137400","15687084700","18553000000","22675999999.9999","23231000000","22387999999.9999","21643999999.9999","18672500000","16901527000","17742522000","18414100000","18867586800","17063600000","",
"Bhután","BTN","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4710794801.90986","4973676700.00001","5492392600.00001","6156381800.00001","7490378200.00001","8212073500.00001","9504120400.00001","11649695200","12672862000","14109514600","19053136300","21764375700.0001","24927532000","27493694299.9999","30207927200.0001","34634784500","39482070899.9999","47648004700","51936067000","57284832000.0001","66760141400.0001","77622206999.9999","87592684100.0002","95677334299.9998","108150408800","119375302200","132608949900","145712294700","152281390000","162396900000","160987440000","",
"Botswana","BWA","GNI: linked series (current LCU)","NY.GNP.MKTP.CN.AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6596751485.01973","7805462187.67092","8664104307.18896","10422025931.1502","10412838973.0567","12543236882.6527","14682464412.9722","17126793993.4348","20006695100.5125","23218279177.1536","26650937187.7635","30088639503.6398","28735531731.7545","32274935752.3387","35991238791.7888","44620231581.3194","52427207853.7068","60157888687.0916","66867870264.9872","69064543363.5931","79337414061.4691","98832316867.7","104194366759.638","115103040282.321","141430590000","140279800000","166402700000","168528300000","173112400000","177830300000","172921600000","",
