"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bulgaria","BGR","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","8091000000","8052000000","7894000000","8829000000","9671000000","10313000000","8862000000","10297000000","9283000000","8268000000","6113000000","3737000000","3956400000","3726500000","3935100000","5345000000","4890200000","3358500000","4193499000","4006367182","4824629175","5105025671.86023","5352471318.93748","7069157198.63983","9921386892.70111","11790949972.7712","15154046460.0447","19533494152.4806","22503649094.5853","16379999293.8753","18741520000","26566780000","25263630000","28171460000","27891560000","24301220000","25549570000","30498370000","32721830000","32591960000","31160920000","",
"Bahrein","BHR","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","1203034137.04939","1517950623.04551","1848856317.07028","1891840742.69204","2499099233.8515","3433154361.28381","4177127670.68385","3694973414.08238","3119414901.91334","3203989365.25265","2896808510.6383","2199468085.10638","2429521276.59574","2411436170.21277","2831117021.2766","3760638297.87234","3513297872.34043","3465425531.91489","3723404362.59808","3617021613.28659","4114362021.28252","4702128066.00841","4382979131.39433","3270213092.10902","4362766199.17809","6194946808.51064","5575797872.34043","5795212765.95745","6631382978.72341","7558244680.85106","10242021276.5957","12200000000","13633510638.2979","17315691489.3617","11873670212.766","13647074468.0851","19650265957.4468","23076595744.6809","25602393617.0213","23497872340.4255","16540425531.9149","12784574468.0851","15376063829.7872","18043617021.2766","","","",
"Bahamas","BHS","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","227500000","201900000","224400000","260700000","377100000","332100000","316900000","332900000","353800000","370500000","335300000","324800000","310800000","221000000","283500000","229400000","216600000","192200000","198500000","225400000","273300000","295000000","362900000","406800000","464800000","416900000","422066878.45","426530000","477460000","549132570","703540000","801874138.25","955822000","710680000","702435000","833539000","984017000","954914000","833944931.65","520531829.165","481397433.12","570600436.5375","641734133.8575","693835394.9975","389137697.949944","",
"Bosnia y Herzegovina","BIH","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","663834835.092671","831757777.890321","1129815179.29108","1134207360.42988","1109709444.74978","1477486792.16791","2086675260.92868","2555319693.15569","3381442075.38503","2486359677.42839","3134155039.11924","2685925194.0021","3392868172.9482","4290191684.03019","3983877454.48586","4510889026.41585","4643390178.90365","4079614411.05779","4354547519.72384","5410504388.16655","6285525098.67986","5825919178.44577","5508172063.75543","",
"Belarús","BLR","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1970100000","2510000000","4803000000","5790100000","6918700000","6157400000","5645100000","6035300000","6682200000","7250600000","9177300000","13014600000","15194000000","18895800000","23309600000","31627400000","20595400000","24506100000","40927600000","45574300000","36540100000","35423300000","26164300000","23099800000","28690200000","33429800000","32333000000","28395600000","39023800000",
"Belice","BLZ","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","93200000","90150000","92600000","102850000","119400000","124400000","129200000","126100000","140600000","132000000","156464000","164552000","171270000","193400000","186160000","241914011.67","261923857.555","253941945.025","294908237.1725","300201564.5525","289916809.07","308048780.4425","408927959.72565","416264480.00267","479973484.78738","383955784.512725","475729501.242996","603581171.1075","627854152.697","608074014.06065","588687029.122125","537911604.854104","442799709.745957","457436755.062534","451249163.10216","425276780.060559","288998129.073657","",
"Bermudas","BMU","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25450000","25315598.6956322","23523951.86375","28668980.4097436","14684082.319868","12630185.4997087","11139986.9269742","12686934.282265","21145965.4086329","21438542.45","18962110.0133333","18710619.3055799","16661582.4527967","18015224.8396941","10760815.4258651","",
"Bolivia","BOL","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","563000000","634300000","627300000","759800000","942200000","912400000","827700000","755100000","724500000","623400000","545500000","518700000","542500000","723500000","830800000","760300000","608400000","715500000","985100000","1041400000","1131990000","1090000000","1032000000","1005500000","1139092096.03","1188657425.88972","1184341415.90552","1492659721.64643","2044256550.86625","2622226566.01205","3661955400.5637","4262826733.64491","6271446254.13459","4709830000","6129300487.3046","8174835184.8045","11132827855.4158","11538700931.3342","12809705325.3417","8684018275.65134","7029946630.03064","8133837886.97646","8940200488.77685","8818886718.06656","6953243107.66611","",
"Brasil","BRA","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","8492000000","9961000000","11923000000","12473000000","15244000000","20132000000","23276000000","20173000000","21898000000","27002000000","25634000000","22348000000","26210000000","33773000000","34375000000","31408000000","31619000000","35793000000","39624000000","44102000000","46506000000","47746000000","52787328532","51045291549","48197279310","55187572648","58105671219","60278560129","72883461454","96097603410","118413811544","137708800759","160540246755","198214040085","153525261683","201197085781.18","255402574913.625","241982433455.16","241511056475.31","223971304319.495","189913957044.055","184266804706.4","218000493584.13","239519559707.195","225799578379.535","210707013474.525","284011796746.51",
"Barbados","BRB","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","36062959.5713711","34572499.9827138","33464499.9832677","36548499.9817257","34061882.7833533","38500881.0015301","48741322.4674235","68042517.4128756","95281679.4476049","87988500","103439000","137298000","132388000","181750000","163650000","209400000","272950000","341850000","305000000","283400000","167150000","179450000","187300000","218900000","206650000","189850000","187550000","180100000","239800000","281200000","283850000","262312947.5","273058304.5","316141999","289184776","281013097","338434768.5","371173681.74","508125675.77","667923500.96889","713457611.36378","733410098.97015","481829277.570615","722478470.29858","832712749.948325","827800495.835795","884868469.39074","966165453.49909","939688878.519405","976754709.51","","","","","",
"Brunei Darussalam","BRN","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3643592052.84994","3708861472.36847","4423954152.72133","5068835389.31106","6240958254.77904","7626932017.95548","7691599164.02487","10697696963.4099","7171881680.89865","8799576438.04708","12376247123.2068","12881822979.7218","11835474928.6243","11111405941.3128","6125471665.4663","4811718565.24941","5474293014.59432","6470749447.40846","7209991572.39094","6535165749.07933","",
"Bhután","BTN","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312020438.063882","576549816.233211","598869932.397677","517952252.775073","521649960.61734","663687111.884612","626875426.318164","544473557.696005","534675223.350861","581541423.500904","496545208.82235","554623776.920883","602753463.424206","609343526.2345","651940784.289152","",
"Botswana","BWA","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","141986351.092303","169740042.630212","191576873.070614","223387594.650999","442204972.281051","544501271.246423","401320206.119381","460637119.553637","640334997.307122","677694140.577726","727648615.124434","852462535.103743","1586595517.31275","1468948026.82398","1819656448.69044","1795356808.03957","1871132312.22803","1743923971.13368","1722150573.13538","1874325679.12598","2160192482.04198","2217532155.6386","2819829460.32291","2060630921.8435","2658167681.49306","2675138476.7153","2314435139.8776","2345620839.28701","3024070307.76483","3691882256.86184","4438400213.02585","4525608573.48678","5162540114.46597","4798259404.62459","3335517335.05206","4693348193.41368","6419398067.92662","5791620633.92633","7906299960.72903","8496040089.2","6271625272.56429","7372657698.2746","5963590764.09343","6594497839.94667","5242567917.74503","4216030258.40003","",
"República Centroafricana","CAF","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","104501924.268951","110287408.331419","122239559.073392","147198340.790504","117693405.381833","124404206.141041","123398559.710425","114432400.086691","131047971.648162","129486675.045792","128896130.608731","133662038.194502","148093325.7092","150537277.728568","125622588.080665","115855496.517237","132453942.417902","145892137.861584","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canadá","CAN","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","5793020936.27757","6185996486.16523","6356009352.73659","6928813888.64109","8115105073.24195","8578330842.35951","10031247973.5367","10936088117.1245","13131160390.4986","14372349202.7814","16742605365.0233","18174887930.3875","21158684706.3883","26499925874.9547","34277367067.6353","33780119811.0442","39695893066.3801","42883528289.7683","47942856261.2273","57299865662.2545","67531310802.6477","71859350595.0421","70174662832.9249","75306067296.9784","89158157415.2968","89801761688.5693","89951366696.239","98987111033.1528","116465317557.794","123871000960.883","130075211364.696","128583092360.806","134790949525.386","146957364481.632","166570431579.776","192930925885.201","204868220739.759","218461779155.957","219948407476.112","247714131434.279","288048191646.866","270783696904.89","262513104538.953","283881204985.993","328561164731.484","370564797070.01","398505186169.462","430510292427.956","460228612614.91","323035491535.324","392358819093.85","461444583689.744","462921555285.582","466456953334.247","480470343578.07","411129878290.903","394137180748.392","424110971708.691","452322709541.459","448841722243.655","390330510303.191","507108426380.347",
"Europa Central y del Báltico","CEB","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60582596686.4693","68125122958.4555","91215033224.1063","95806324690.3705","101721806947.706","112111172267.62","108596959611.86","125165566679.587","140015706109.039","154517870635.678","199507001329.319","285778699088.515","331651702738.275","405439990448.076","517834401142.159","615928309531.651","479204689038.213","556507027697.649","674297740256.82","650542634539.62","693304639873.998","724840012722.887","638958585492.046","656066843562.452","742879460349.097","825898174217.081","816754720034.16","803237310442.566","",
"Suiza","CHE","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","20991711867.3149","28836529348.7007","33827284322.4462","41707595440.7896","40103605169.8981","36072914085.7517","34166822168.4194","36896461233.1229","37303352495.2943","48799925885.8387","55603851505.7866","63164081186.3596","66397237037.1502","78756537231.7772","74952109205.6554","80427837782.4214","75920908670.494","83272884804.1501","98016170964.2884","96394123024.8946","96016330046.079","94503684862.3679","92694323021.1075","95116039172.5198","96704749859.546","102132645779.397","117650258534.457","143927541941.515","154777280830.26","174180905590.358","209668973522.372","256899263818.046","222501644503.128","285311228402.895","355102763308.997","339106205739.317","379154950835.076","337823160246.929","312070394627.132","326895825848.343","328751588218.968","345919163990.292","342700655440.439","352070160986.199","",
"Islas del Canal","CHI","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Exportaciones de bienes (balanza de pagos, US$ a precios actuales)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","1590000000","2116000000","2186000000","2460000000","3835000000","4705000000","3836000000","3706000000","3831000000","3650000000","3804100000","4191200000","5303000000","7054100000","8078400000","8372700000","8941500000","10007400000","9198700000","11604100000","16025000000","16626465803.55","17869877663.39","16322526210.32","17161948433.72","19209887166.01","18271390806.64","18178137790.176","21650906897.8466","33025407003.93","41973992484.9","59380159233.432","68561364483.7296","64510142785.1327","55462671481.2967","71108528875.7787","81437843854.5763","78062990216.8251","76769937148.3466","75064697829.6074","62035090309.76","60718332353.9697","68823195509.8975","74708370904.2204","68762563590.5789","73485136686.0739","",
