country,agricul_2017,inv_2017,pbi_num,pbi_2017
El Salvador,1347130000,503801415.183001,8454.05216690571,Muy bajo
Serbia,2656996313.06556,2894615965.23761,16611.023740948,Muy bajo
África al sur del Sahara (excluido altos ingresos),265799983208.473,27492062938.6974,3866.3963676015,Muy bajo
África al sur del Sahara,265828662339.67,27616528474.402,3868.53601273447,Muy bajo
Pequeños Estados,13663278715.7238,21679339380.8328,20440.6724188236,Muy bajo
Santo Tomé y Prí­ncipe,40862694.4542049,34208489.0333144,3952.94539403456,Muy bajo
Suriname,392109726.618321,96075554.7414537,18283.6883894232,Muy bajo
República Eslovaca,1994349316.07177,4225581974.33236,30061.5514717196,Bajo
Eslovenia,893905418.129413,1196228604.69281,36507.5530416531,Bajo
Suecia,7809812476.96453,28405674155.3444,51947.9542478244,Medio
Eswatini,371071766.17102,-57647593.3929901,8408.03591539676,Muy bajo
Sint Maarten (Dutch part),949720.670391061,64248297.0446927,37914.1229673613,Bajo
Seychelles,28670657.4541511,124465535.7046,27309.7621128652,Bajo
Islas Turcas y Caicos,4766000,22068000,27060.5896570252,Bajo
Chad,4861500780.06505,363381636.4,1587.03232784726,Muy bajo
Asia oriental y el Pací­fico (BIRF y la AIF),1216395360151.9,240058838915.976,13047.0841019261,Muy bajo
Europa y Asia central (BIRF y la AIF),197714326191.193,84256244027.3321,21925.3972691305,Muy bajo
Togo,1319936547.70538,88558699.5022234,2012.24069260973,Muy bajo
Tailandia,38363249046.8418,8285169819.69135,17422.9523512059,Muy bajo
Tayikistán,1528638431.75784,185827080.700795,3252.93265536068,Muy bajo
Turkmenistán,4216571428.57143,2085944135,14205.0265119624,Muy bajo
América Latina y el Caribe (BIRF y la AIF),324880403606.776,160938481172.695,15849.0828669983,Muy bajo
Timor-Leste,271269500,6715937.467148,3177.48513651044,Muy bajo
Oriente Medio y Norte de África (BIRF y la AIF),124178060743.957,16563797615.1671,10495.408846085,Muy bajo
Tonga,77368559.1495137,-5613753.35828908,6467.12427796495,Muy bajo
Asia meridional (BIRF y la AIF),561651164979.014,46334263754.3824,5773.98060124132,Muy bajo
África al sur del Sahara (BIRF y la AIF),265828662339.67,27616528474.402,3868.53601273447,Muy bajo
Trinidad y Tobago,277513090.93591,-470882577.73977,26342.6166624768,Bajo
Túnez,3788881013.62553,810936482.841998,11234.4897248596,Muy bajo
Turquí­a,51871604287.1632,1.1042e+10,27913.8187158996,Bajo
Tanzaní­a,15325460208.2699,937700000,2530.603317381,Muy bajo
Uganda,7212295524.12497,802704141.008568,2074.65243576542,Muy bajo
Ucrania,11408187512.6896,3.68e+09,11860.5609298492,Muy bajo
Ingreso mediano alto,1394265410810.82,404135086080.909,16203.800757904,Muy bajo
Uruguay,3433518879.63622,2686509353.42749,23009.8742286911,Muy bajo
Estados Unidos,185620403000,3.80823e+11,60109.6557260477,Medio
Uzbekistán,17791555799.2584,1797341435.65381,6840.70986001705,Muy bajo
San Vicente y las Granadinas,54814814.8148148,163275187.56616,12245.1263378297,Muy bajo
Viet Nam,34338758284.741,1.41e+10,7155.4431870997,Muy bajo
Vanuatu,188071318.335609,38222690.1627779,3081.83519771335,Muy bajo
Mundo,3338009214067.33,2204262024429.97,16210.5538993636,Muy bajo
Samoa,87523487.1413831,9215371.78697386,6489.77678623675,Muy bajo
Kosovo,532006326.253954,286835212.112418,10436.1688459323,Muy bajo
Sudáfrica,9512565346.39335,2058579911.05235,13860.2701664709,Muy bajo
Zambia,1041223882.32204,1107519804.84533,3485.02178024575,Muy bajo
Zimbabwe,1466750279.24047,307187738.788,3795.64243109451,Muy bajo
