"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1902205025.83606","2050215843.39069","2098075398.18975","1817614014.78035","1728561492.24893","1728457123.06439","1736925086.52908","1569706507.56975","1417512442.00259","",
"Samoa Americana","ASM","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","3852264.81481481","3949817.40740741","3902447.03703704","4035066.66666667","4373347.40740741","4436734.81481481","4880199.25925926","4245227.03703704","5126490","5434985.92592593","6436933.33333333","7046851.85185185","7487162.59259259","8181481.48148148","8574074.07407407","9000000","9340740.74074074","9292592.59259259","9485185.18518518","10237037.037037","11700000","12129629.6296296","12777777.7777778","13196296.2962963","12914814.8148148","14096296.2962963","14970370.3703704","14807407.4074074","17966666.6666667","19125925.9259259","21081481.4814815","21203703.7037037","18322222.2222222","18762962.962963","21992592.5925926","22785185.1851852","23833333.3333333","20692592.5925926","21551851.8518519","22525925.9259259","26329629.6296296","27877777.7777778","29251851.8518519","30340740.7407407","",
"Australia","AUS","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13061946902.6549","10339062867.9068","9906944551.2574","10154581225.4075","10776893808.3708","11081823581.8236","13562215477.997","14070277038.6602","12106084243.3697","11876174959.2681","12944796834.7673","13276269185.3601","15612704060.2763","13502620850.3203","18815620998.7196","20073673131.8599","20435010482.1803","18856088560.8856","24729632945.3894","21365041967.3097","25318418039.2848","32046731736.1727","35076304392.6583","36030573509.7979","32592490590.2873","32090024128.4633","29011500946.2804","35858662040.8779","35110456553.7555","29465741667.8587","26637618983.778","",
"Austria","AUT","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","2193673391.11759","2273237865.29015","2739367952.24107","3171115800.3088","3550198893.85237","2817881458.44133","2598724691.45761","2460920024.51356","2435472801.04532","2175389731.31152","3195860297.43128","3970277535.91641","4064799955.42182","4008554342.17369","5155570615.99903","4885844431.34944","4785919108.43977","4196808233.76316","4826931694.97651","5203043537.60065","4703431245.12607","4054684857.36836","3914150733.6594","3741674664.38225","3249952420.73726","3299785780.97638","3350508115.95295","3912943963.36078","4450943708.28959","3980864935.3463","4382366349.81176","5512391588.45492","5799100567.95312","4607440565.47656","4971410985.66668","6051859531.32297","5520993880.78125","5397697491.43923","5314295407.42743","4315472578.34375","4395047361.78211","5051098257.10589","5144107939.7098","4768670348.39215","4765447761.83659","",
"Azerbaiyán","AZE","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116305555.555556","425620000","385984713.375796","612665684.830633","792862954.783215","797515995.483628","806926854.484363","842961165.048544","848122485.471614","846880704.391711","870191318.658712","904184909.886977","953800753.027374","1203617516.39518","1488023281.84464","2215359515.20802","2733690360.27264","2711495396.86489","2921255918.26564","3347473724.19906","3581593686.35438","3979859783.30147","4002550044.62578","3278645325.00488","2122454095.38134","2291482686.49779","2455764705.88235","2743647058.82353","2950764705.88235","",
"Burundi","BDI","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","158580571.428571","163745142.857143","149990857.142857","192688626.196486","210728888.888889","258080000","266695652.173913","304321111.111111","329302222.222222","421235555.555556","529504444.444444","563428888.888889","533083333.333333","579172673.480366","539571464.372233","643436075.896926","631141280.546553","572028164.454516","521887531.607251","524904359.444623","578015240.430936","567331265.529191","519907053.667014","442751235.584843","376786470.516063","420406953.931406","463898280.759703","412720733.077905","398073934.18613","384930042.941302","383945638.22554","384414355.99446","357673239.57947","336156027.69208","383516660.671626","456319715.319443","517470094.789107","473777017.69446","612575386.432955","654174611.308661","780960656.21216","820648569.754034","826470275.054738","940617743.992827","945892920.654196","952454112.330295","862046261.118332","784513378.919232","774181329.38429","760420281.432442","808617004.962055","",
"Bélgica","BEL","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3763409961.68582","3708664495.11401","3388362652.23275","3246276950.43343","2779331820.77221","2784691835.29412","2626344026.61418","2669449184.43138","3274483103.21568","3776736213.66796","3242472476.88716","3704016529.41176","4179546876.19609","3685124902.5","3118315060.58594","3683371186.66667","3391359778.21012","3876078944.17969","3554309496.54903","3414911266.07842","3173539721.05469","2991737733.38522","3343856282.35295","3276322096.54902","3564294891.7647","3330186975.25293","",
"Benin","BEN","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","104406729.171994","108864073.691563","105708327.160214","111013027.291234","122843599.812592","129355604.260002","136764159.974992","128861320.426063","126835486.642482","127327023.787451","121199799.495736","115123488.277923","140460804.689645","169590996.333604","174903153.116661","206707115.157324","231847136.540832","238928984.771636","320842391.003293","415096554.839753","497918402.912539","421739847.974931","412043218.28279","363191694.089738","350149114.317277","329875811.94089","449879706.640863","519969954.408215","557042148.987303","568721864.603523","679224884.377268","696122784.306233","575422295.862592","776066895.840058","516082554.776644","717933119.889796","843043770.296064","811642072.035985","897990615.843531","902224231.497938","828649394.684374","918321403.385073","1064638690.45594","1308106763.02394","1641712377.26088","1752869450.3492","1873310787.98589","2203281226.5413","2625673192.37668","2627379830.76097","2464041236.3279","2758556352.63426","2871014093.84234","3163936160.91206","3403290726.03079","3005573130.57235","3280775611.97532","3618576519.03844","4002712282.28101","3867881150.03815","4243004819.78366","",
"Burkina Faso","BFA","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","127169376.141693","134169238.290289","143699455.418652","151680542.20044","158716957.545938","149775090.191867","157359681.60001","150605839.24693","145471949.756973","153140036.220873","139867732.308357","147614956.973959","184584163.004369","198373433.975267","231534020.731627","271334014.424703","283349699.205484","321522221.412677","444454496.868905","513702854.341073","548650196.232859","529271607.450737","482812514.550086","441914271.805934","416048867.771109","526359855.14053","597867380.255433","659200912.30153","746793173.838217","722626947.637413","866814220.200334","934032478.822744","967056779.620676","967253446.95945","624456000.642646","790409692.788758","940965777.894894","825813621.889378","1025572006.56054","923734510.497856","739540781.99626","858861619.172207","955302441.124084","1230749774.01175","1274683277.32877","1645435115.68521","1651847064.92178","1665418841.17228","2581591814.34978","2193019869.29861","2440804392.65367","2783741332.28194","2983995613.02054","3178379707.5357","3303626747.59442","2677981508.14674","2786728643.80627","2903999902.17972","3336512157.33648","2972915702.89686","3299439051.33203","",
"Bangladesh","BGD","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","2456965881.55346","2793629764.01142","2897349426.55739","3039893212.56091","2873828364.99186","3119808334.38595","3474042132.81254","4051301630.71183","4007943132.43443","4694023271.8437","4906563909.23297","4466180155.89572","3748417450","4580228698.11078","7086626349.48531","12049056624.6057","5252244444.44444","4719224479.63801","7205399623.01587","8164407614.98029","5953613619.14402","6470084405.22338","5824699760.96672","5466910661.11296","6565272658.03","7353379302.28677","7048070139.58723","7936685184.58739","8324326071.43874","8796164868.26308","9634281503.25936","9806409383.7535","9676763806.36605","9061453232.80423","9024856144.6384","10359209305.9701","10804474327.6284","11214941451.9906","11290220264.3172","11617096505.8236","12124627310.6738","11796200889.5478","11264478495.5598","11919119170.9845","12544436894.8531","12896276422.7642","12951865409.4699","14176120157.8338","16123160740.4168","17528446091.9968","19598804913.9026","21624020462.3123","21573710617.1092","23238437547.3051","26540719629.9561","28838474121.034","31098972568.1707","33494889673.3107","35828712193.7201","38366877228.392","41729518917.0001","",
"Bulgaria","BGR","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","2860538461.53846","3303500000","3322533333.33333","2398333333.33333","2782222222.22222","2036105263.15789","2616117647.05882","3314846153.84615","2584764705.88235","2405944444.44444","3661363636.36364","1684274193.54839","1202525773.19588","1075869565.21739","1114391143.91144","1749940476.19048","1179331084.87915","2317156786.96712","2015851511.02022","1765913914.1318","1453131917.29854","1503912207.62576","1592809821.85845","1923268886.70861","2210913592.78776","2175584778.60365","2095891104.98301","2066918824.35269","3197853563.6826","2203604179.99573","2044025314.74211","2688657660.86029","2405514454.66491","2520415988.05646","2602126577.12658","2062099297.21152","2186834276.0181","2392194756.55431","2246146650.57333","2233811677.16085","2450315795.60683","",
"Bahrein","BHR","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","30246749.8010082","35106382.9787234","38563829.787234","43085106.3829787","43617021.2765957","43617021.2765957","41778723.4042553","45538031.9148936","43705319.1489362","43856914.893617","40155319.1489362","40721542.5531915","43229787.2340426","44273936.1702128","47900000","50477659.5744681","","","","","","","","","","","49734042.5531915","63510638.2978723","68085106.3829787","77367021.2765957","76542553.1914894","83696808.5106383","84787234.0425532","89414893.6170213","100132978.723404","98191489.3617021","107074468.085106","103085106.382979","108882978.723404","108696808.510638","108643617.021277","",
"Bahamas","BHS","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","41700000","44200000","44800000","49600000","","61623000","69922000","88162000","82793000","76103000","87181000","97183000","95527000","98900000","94200000","97400000","108600000","99700000","134400000","119500000","105200000","104700000","119000000","116100000","109800000","90800000","110800000","110000000","115000000","97200000","93400000","96500000","104200000","95900000","86600000","67900000","43400000","",
"Bosnia y Herzegovina","BIH","Agricultura, valor agregado (US$ a precios actuales)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450246913.580247","386380573.581746","576711390.217969","643230494.204486","657042109.450475","621468409.586057","501148014.74464","529064143.363127","597077780.704678","688809917.170006","871873170.861695","931209755.892987","1036152953.65027","1215746652.80395","1377507090.35188","1246461032.67449","1167464936.51914","1259962969.17925","1056980201.03336","1243240599.47714","1104567586.71699","1011819110.524","1077335585.36681","1012764275.36025","1187529167.63643","1131898772.36168","1216429570.08039","",
